date,time,weekday,location_id,location_name,gym_people_num,gym_max_people_num,sw_people_num,sw_max_people_num
2026-08-15,06:54,Saturday,NHSC,內湖,29,130,42,200
2026-08-15,06:54,Saturday,SLSC,士林,23,100,64,200
2026-08-15,06:54,Saturday,SSSC,松山,31,100,83,400
2026-08-15,06:54,Saturday,WHSC,萬華,7,150,19,100
2026-08-15,06:54,Saturday,WSSC,文山,13,110,54,200
2026-08-15,06:54,Saturday,XYSC,信義,0,65,0,165
2026-08-15,06:54,Saturday,ZSSC,中山,8,50,30,150
2026-08-15,07:50,Saturday,BTSC,北投,10,60,70,200
2026-08-15,07:50,Saturday,DASC,大安,17,80,40,250
2026-08-15,07:50,Saturday,DTSC,大同,30,80,49,250
2026-08-15,07:50,Saturday,JJSC,中正,28,150,36,200
2026-08-15,07:50,Saturday,NGSC,南港,0,0,0,0
2026-08-15,07:50,Saturday,NHSC,內湖,20,130,56,200
2026-08-15,07:50,Saturday,SLSC,士林,36,100,58,200
2026-08-15,07:50,Saturday,SSSC,松山,29,100,111,400
2026-08-15,07:50,Saturday,WHSC,萬華,10,150,21,100
2026-08-15,07:50,Saturday,WSSC,文山,17,110,40,200
2026-08-15,07:50,Saturday,XYSC,信義,0,65,0,165
2026-08-15,07:50,Saturday,ZSSC,中山,4,50,25,150
2026-08-15,11:02,Saturday,BTSC,北投,26,60,250,200
2026-08-15,11:02,Saturday,DASC,大安,47,80,73,250
2026-08-15,11:02,Saturday,DTSC,大同,70,80,51,250
2026-08-15,11:02,Saturday,JJSC,中正,90,150,64,200
2026-08-15,11:02,Saturday,NGSC,南港,0,0,0,0
2026-08-15,11:02,Saturday,NHSC,內湖,69,130,163,200
2026-08-15,11:02,Saturday,SLSC,士林,48,100,91,200
2026-08-15,11:02,Saturday,SSSC,松山,41,100,150,400
2026-08-15,11:02,Saturday,WHSC,萬華,39,150,28,100
2026-08-15,11:02,Saturday,WSSC,文山,32,110,104,200
2026-08-15,11:02,Saturday,XYSC,信義,0,65,0,165
2026-08-15,11:02,Saturday,ZSSC,中山,26,50,79,150
2026-08-15,12:52,Saturday,BTSC,北投,16,60,284,200
2026-08-15,12:52,Saturday,DASC,大安,38,80,51,250
2026-08-15,12:52,Saturday,DTSC,大同,30,80,34,250
2026-08-15,12:52,Saturday,JJSC,中正,53,150,0,200
2026-08-15,12:52,Saturday,NGSC,南港,0,0,0,0
2026-08-15,12:52,Saturday,NHSC,內湖,44,130,87,200
2026-08-15,12:52,Saturday,SLSC,士林,33,100,58,200
2026-08-15,12:52,Saturday,SSSC,松山,19,100,74,400
2026-08-15,12:52,Saturday,WHSC,萬華,25,150,37,100
2026-08-15,12:52,Saturday,WSSC,文山,25,110,57,200
2026-08-15,12:52,Saturday,XYSC,信義,0,65,0,165
2026-08-15,12:52,Saturday,ZSSC,中山,12,50,30,150
2026-08-15,13:55,Saturday,BTSC,北投,14,60,319,200
2026-08-15,13:55,Saturday,DASC,大安,26,80,47,250
2026-08-15,13:55,Saturday,DTSC,大同,32,80,43,250
2026-08-15,13:55,Saturday,JJSC,中正,57,150,37,200
2026-08-15,13:55,Saturday,NGSC,南港,0,0,0,0
2026-08-15,13:55,Saturday,NHSC,內湖,54,130,88,200
2026-08-15,13:55,Saturday,SLSC,士林,40,100,84,200
2026-08-15,13:55,Saturday,SSSC,松山,35,100,97,400
2026-08-15,13:55,Saturday,WHSC,萬華,38,150,34,100
2026-08-15,13:55,Saturday,WSSC,文山,21,110,75,200
2026-08-15,13:55,Saturday,XYSC,信義,0,65,0,165
2026-08-15,13:55,Saturday,ZSSC,中山,29,50,31,150
2026-08-15,15:19,Saturday,BTSC,北投,31,60,358,200
2026-08-15,15:19,Saturday,DASC,大安,39,80,76,250
2026-08-15,15:19,Saturday,DTSC,大同,42,80,36,250
2026-08-15,15:19,Saturday,JJSC,中正,64,150,86,200
2026-08-15,15:19,Saturday,NGSC,南港,0,0,0,0
2026-08-15,15:19,Saturday,NHSC,內湖,63,130,101,200
2026-08-15,15:19,Saturday,SLSC,士林,41,100,131,200
2026-08-15,15:19,Saturday,SSSC,松山,35,100,146,400
2026-08-15,15:19,Saturday,WHSC,萬華,42,150,53,100
